 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 17, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- O.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   7.523E+00  4.622E-03  415.92 um    17.59 um    12.25 um  
   6.00 MeV   7.020E+00  4.275E-03  484.59 um    20.28 um    14.17 um  
   6.50 MeV   6.586E+00  3.979E-03  557.98 um    22.99 um    16.22 um  
   7.00 MeV   6.206E+00  3.723E-03  636.04 um    25.72 um    18.40 um  
   8.00 MeV   5.575E+00  3.302E-03  805.74 um    35.57 um    23.10 um  
   9.00 MeV   5.071E+00  2.969E-03  993.49 um    44.81 um    28.27 um  
  10.00 MeV   4.657E+00  2.700E-03    1.20 mm    53.86 um    33.91 um  
  11.00 MeV   4.310E+00  2.478E-03    1.42 mm    62.90 um    39.99 um  
  12.00 MeV   4.016E+00  2.290E-03    1.66 mm    72.01 um    46.51 um  
  13.00 MeV   3.763E+00  2.130E-03    1.92 mm    81.24 um    53.46 um  
  14.00 MeV   3.543E+00  1.992E-03    2.19 mm    90.61 um    60.84 um  
  15.00 MeV   3.349E+00  1.872E-03    2.48 mm   100.14 um    68.63 um  
  16.00 MeV   3.177E+00  1.765E-03    2.79 mm   109.83 um    76.84 um  
  17.00 MeV   3.024E+00  1.671E-03    3.11 mm   119.69 um    85.46 um  
  18.00 MeV   2.886E+00  1.586E-03    3.45 mm   129.72 um    94.47 um  
  20.00 MeV   2.648E+00  1.442E-03    4.17 mm   166.69 um   113.70 um  
  22.50 MeV   2.405E+00  1.295E-03    5.16 mm   219.55 um   139.91 um  
  25.00 MeV   2.207E+00  1.177E-03    6.24 mm   269.80 um   168.47 um  
  27.50 MeV   2.042E+00  1.079E-03    7.42 mm   319.16 um   199.34 um  
  30.00 MeV   1.903E+00  9.967E-04    8.68 mm   368.40 um   232.44 um  
  32.50 MeV   1.783E+00  9.265E-04   10.04 mm   417.90 um   267.73 um  
  35.00 MeV   1.679E+00  8.659E-04   11.48 mm   467.89 um   305.17 um  
  37.50 MeV   1.588E+00  8.131E-04   13.01 mm   518.48 um   344.71 um  
  40.00 MeV   1.508E+00  7.665E-04   14.62 mm   569.74 um   386.30 um  
  45.00 MeV   1.372E+00  6.882E-04   18.09 mm   758.24 um   475.54 um  
  50.00 MeV   1.261E+00  6.250E-04   21.89 mm   935.56 um   572.56 um  
  55.00 MeV   1.169E+00  5.727E-04   26.00 mm     1.11 mm   677.11 um  
  60.00 MeV   1.091E+00  5.288E-04   30.43 mm     1.28 mm   788.92 um  
  65.00 MeV   1.025E+00  4.914E-04   35.15 mm     1.45 mm   907.77 um  
  70.00 MeV   9.674E-01  4.591E-04   40.16 mm     1.62 mm     1.03 mm  
  80.00 MeV   8.727E-01  4.061E-04   51.03 mm     2.25 mm     1.30 mm  
  90.00 MeV   7.978E-01  3.644E-04   63.00 mm     2.83 mm     1.60 mm  
 100.00 MeV   7.371E-01  3.307E-04   76.02 mm     3.40 mm     1.92 mm  
 110.00 MeV   6.869E-01  3.030E-04   90.06 mm     3.96 mm     2.26 mm  
 120.00 MeV   6.447E-01  2.796E-04  105.07 mm     4.51 mm     2.62 mm  
 130.00 MeV   6.086E-01  2.597E-04  121.01 mm     5.07 mm     3.01 mm  
 140.00 MeV   5.774E-01  2.426E-04  137.86 mm     5.62 mm     3.41 mm  
 150.00 MeV   5.503E-01  2.276E-04  155.57 mm     6.18 mm     3.83 mm  
 160.00 MeV   5.263E-01  2.144E-04  174.13 mm     6.74 mm     4.27 mm  
 170.00 MeV   5.051E-01  2.028E-04  193.50 mm     7.31 mm     4.72 mm  
 180.00 MeV   4.862E-01  1.923E-04  213.65 mm     7.88 mm     5.19 mm  
 200.00 MeV   4.538E-01  1.745E-04  256.19 mm     9.97 mm     6.17 mm  
 225.00 MeV   4.212E-01  1.565E-04  313.32 mm    12.90 mm     7.47 mm  
 250.00 MeV   3.949E-01  1.419E-04  374.55 mm    15.61 mm     8.85 mm  
 275.00 MeV   3.734E-01  1.300E-04  439.59 mm    18.19 mm    10.29 mm  
 300.00 MeV   3.554E-01  1.199E-04  508.14 mm    20.69 mm    11.79 mm  
 325.00 MeV   3.402E-01  1.113E-04  579.97 mm    23.13 mm    13.34 mm  
 350.00 MeV   3.271E-01  1.039E-04  654.83 mm    25.52 mm    14.93 mm  
 375.00 MeV   3.159E-01  9.747E-05  732.52 mm    27.88 mm    16.57 mm  
 400.00 MeV   3.060E-01  9.181E-05  812.85 mm    30.20 mm    18.24 mm  
 450.00 MeV   2.897E-01  8.229E-05  980.64 mm    38.57 mm    21.67 mm  
 500.00 MeV   2.768E-01  7.462E-05    1.16 m     46.10 mm    25.20 mm  
 550.00 MeV   2.663E-01  6.829E-05    1.34 m     53.10 mm    28.81 mm  
 600.00 MeV   2.578E-01  6.298E-05    1.53 m     59.72 mm    32.46 mm  
 650.00 MeV   2.506E-01  5.846E-05    1.73 m     66.04 mm    36.15 mm  
 700.00 MeV   2.447E-01  5.456E-05    1.93 m     72.11 mm    39.86 mm  
 800.00 MeV   2.352E-01  4.818E-05    2.35 m     93.41 mm    47.32 mm  
 900.00 MeV   2.283E-01  4.317E-05    2.78 m    111.83 mm    54.77 mm  
   1.00 GeV   2.230E-01  3.913E-05    3.22 m    128.46 mm    62.17 mm  
   1.10 GeV   2.190E-01  3.580E-05    3.67 m    143.77 mm    69.47 mm  
   1.20 GeV   2.158E-01  3.301E-05    4.13 m    158.05 mm    76.67 mm  
   1.30 GeV   2.134E-01  3.063E-05    4.60 m    171.49 mm    83.75 mm  
   1.40 GeV   2.115E-01  2.858E-05    5.07 m    184.21 mm    90.71 mm  
   1.50 GeV   2.100E-01  2.680E-05    5.54 m    196.30 mm    97.53 mm  
   1.60 GeV   2.088E-01  2.523E-05    6.02 m    207.84 mm   104.22 mm  
   1.70 GeV   2.079E-01  2.384E-05    6.50 m    218.88 mm   110.78 mm  
   1.80 GeV   2.073E-01  2.260E-05    6.98 m    229.47 mm   117.20 mm  
   2.00 GeV   2.064E-01  2.048E-05    7.95 m    267.53 mm   129.67 mm  
   2.25 GeV   2.060E-01  1.834E-05    9.16 m    318.19 mm   144.56 mm  
   2.50 GeV   2.061E-01  1.662E-05   10.37 m    361.90 mm   158.75 mm  
   2.75 GeV   2.065E-01  1.520E-05   11.58 m    400.80 mm   172.27 mm  
   3.00 GeV   2.071E-01  1.401E-05   12.79 m    436.09 mm   185.18 mm  
   3.25 GeV   2.079E-01  1.299E-05   14.00 m    468.52 mm   197.54 mm  
   3.50 GeV   2.088E-01  1.212E-05   15.20 m    498.63 mm   209.40 mm  
   3.75 GeV   2.097E-01  1.136E-05   16.39 m    526.78 mm   220.78 mm  
   4.00 GeV   2.107E-01  1.069E-05   17.58 m    553.28 mm   231.74 mm  
   4.50 GeV   2.127E-01  9.575E-06   19.94 m    646.73 mm   252.49 mm  
   5.00 GeV   2.147E-01  8.673E-06   22.28 m    726.86 mm   271.88 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0000E-02                keV / (ug/cm2) 
  1.0000E-02                MeV / (mg/cm2) 
  1.0000E+01                keV / (mg/cm2) 
  9.9709E-02                 eV / (1E15 atoms/cm2)
  4.4210E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
