Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
2.500000	0.011173  	2.500000	0.0139591 	2.500000	0.0138027 	2.500000	0.0138027 	2.500000	0.0139499 	2.500000	9.1388e-06	
3.000000	0.00975606	3.000000	0.0121235 	3.000000	0.0120675 	3.000000	0.0120675 	3.000000	0.0121157 	3.000000	7.7738e-06	
3.500000	0.00868065	3.500000	0.0107407 	3.500000	0.0107511 	3.500000	0.0107511 	3.500000	0.010734  	3.500000	6.77785e-06	
4.000000	0.00783425	4.000000	0.0096588 	4.000000	0.00971384	4.000000	0.00971384	4.000000	0.00965278	4.000000	6.01747e-06	
4.500000	0.00714933	4.500000	0.00878743	4.500000	0.00887308	4.500000	0.00887308	4.500000	0.00878202	4.500000	5.41697e-06	
5.000000	0.00658281	5.000000	0.00806951	5.000000	0.00817634	5.000000	0.00817634	5.000000	0.00806458	5.000000	4.9301e-06	
5.500000	0.00610583	5.500000	0.00746702	5.500000	0.00758857	5.500000	0.00758857	5.500000	0.00746249	5.500000	4.52699e-06	
6.000000	0.0056983 	6.000000	0.00695368	6.000000	0.00708542	6.000000	0.00708542	6.000000	0.00694949	6.000000	4.18748e-06	
6.500000	0.00534578	6.500000	0.00651068	6.500000	0.00664938	6.500000	0.00664938	6.500000	0.00650678	6.500000	3.8974e-06	
7.000000	0.00503763	7.000000	0.00612421	7.000000	0.00626754	7.000000	0.00626754	7.000000	0.00612057	7.000000	3.64656e-06	
7.500000	0.00476579	7.500000	0.00578389	7.500000	0.00593014	7.500000	0.00593014	7.500000	0.00578046	7.500000	3.42739e-06	
8.000000	0.00452408	8.000000	0.00548175	8.000000	0.00562966	8.000000	0.00562966	8.000000	0.00547851	8.000000	3.23417e-06	
8.500000	0.00430766	8.500000	0.00521157	8.500000	0.00536021	8.500000	0.00536021	8.500000	0.00520851	8.500000	3.06248e-06	
9.000000	0.00411268	9.000000	0.00496845	9.000000	0.00511709	9.000000	0.00511709	9.000000	0.00496554	9.000000	2.90887e-06	
9.500000	0.00393604	9.500000	0.00474842	9.500000	0.00489655	9.500000	0.00489655	9.500000	0.00474565	9.500000	2.77058e-06	
10.000000	0.00377522	10.000000	0.00458993	10.000000	0.00469549	10.000000	0.00469549	10.000000	0.00458729	10.000000	2.6454e-06	
11.000000	0.00349308	11.000000	0.00425899	11.000000	0.00433846	11.000000	0.00433849	11.000000	0.00425657	11.000000	2.42745e-06	
12.000000	0.00325348	12.000000	0.00397563	12.000000	0.00403503	12.000000	0.0040351 	12.000000	0.00397339	12.000000	2.24403e-06	
13.000000	0.0030473 	13.000000	0.00373019	13.000000	0.00377397	13.000000	0.00377401	13.000000	0.0037281 	13.000000	2.08743e-06	
14.000000	0.00286789	14.000000	0.00351544	14.000000	0.00354693	14.000000	0.00354692	14.000000	0.00351349	14.000000	1.9521e-06	
15.000000	0.00271027	15.000000	0.00332591	15.000000	0.00334758	15.000000	0.00334758	15.000000	0.00332407	15.000000	1.83393e-06	
16.000000	0.00257062	16.000000	0.00315734	16.000000	0.00317123	16.000000	0.00317119	16.000000	0.00315561	16.000000	1.7298e-06	
17.000000	0.00244599	17.000000	0.00300641	17.000000	0.00301417	17.000000	0.00301402	17.000000	0.00300477	17.000000	1.63733e-06	
18.000000	0.00233404	18.000000	0.00287044	18.000000	0.00287331	18.000000	0.00287311	18.000000	0.00286888	18.000000	1.55463e-06	
19.000000	0.00223288	19.000000	0.00274728	19.000000	0.00274628	19.000000	0.00274608	19.000000	0.0027458 	19.000000	1.48021e-06	
20.000000	0.00214101	20.000000	0.00263519	20.000000	0.0026312 	20.000000	0.002631  	20.000000	0.00263377	20.000000	1.41287e-06	
21.000000	0.00205717	21.000000	0.00253271	21.000000	0.00252651	21.000000	0.00252629	21.000000	0.00253136	21.000000	1.35164e-06	
22.000000	0.00198034	22.000000	0.00243864	22.000000	0.00243085	22.000000	0.00243064	22.000000	0.00243734	22.000000	1.2957e-06	
23.000000	0.00190966	23.000000	0.00235197	23.000000	0.00234317	23.000000	0.00234295	23.000000	0.00235073	23.000000	1.24439e-06	
24.000000	0.0018444 	24.000000	0.00227186	24.000000	0.00226259	24.000000	0.0022623 	24.000000	0.00227066	24.000000	1.19716e-06	
25.000000	0.00178395	25.000000	0.00219757	25.000000	0.00218832	25.000000	0.00218789	25.000000	0.00219641	25.000000	1.15352e-06	
27.000000	0.00167548	27.000000	0.00206405	27.000000	0.00205578	27.000000	0.00205523	27.000000	0.00206298	27.000000	1.07549e-06	
29.000000	0.00158086	29.000000	0.00194741	29.000000	0.00194118	29.000000	0.00194065	29.000000	0.0019464 	29.000000	1.00773e-06	
31.000000	0.00149756	31.000000	0.00184459	31.000000	0.00184006	31.000000	0.00183952	31.000000	0.00184364	31.000000	9.48313e-07	
33.000000	0.00142362	33.000000	0.00175323	33.000000	0.00174922	33.000000	0.00174871	33.000000	0.00175234	33.000000	8.95769e-07	
35.000000	0.00135753	35.000000	0.00167151	35.000000	0.00166792	35.000000	0.00166747	35.000000	0.00167066	35.000000	8.48956e-07	
38.000000	0.00127051	38.000000	0.00156385	38.000000	0.00156105	38.000000	0.00156044	38.000000	0.00156307	38.000000	7.87564e-07	
41.000000	0.00119535	41.000000	0.00147081	41.000000	0.00146855	41.000000	0.00146792	41.000000	0.00147008	41.000000	7.3476e-07	
44.000000	0.00112973	44.000000	0.00138957	44.000000	0.00138768	44.000000	0.0013871 	44.000000	0.00138888	44.000000	6.88838e-07	
47.000000	0.00107192	47.000000	0.00131798	47.000000	0.00131642	47.000000	0.00131587	47.000000	0.00131734	47.000000	6.48521e-07	
50.000000	0.00102057	50.000000	0.00125441	50.000000	0.00125309	50.000000	0.00125258	50.000000	0.0012538 	50.000000	6.1283e-07	
55.000000	0.000946597	55.000000	0.00116288	55.000000	0.00116188	55.000000	0.00116141	55.000000	0.00116232	55.000000	5.61627e-07	
60.000000	0.000884144	60.000000	0.00108566	60.000000	0.0010849 	60.000000	0.00108443	60.000000	0.00108514	60.000000	5.18598e-07	
65.000000	0.000830663	65.000000	0.0010196 	65.000000	0.00101909	65.000000	0.00101854	65.000000	0.00101912	65.000000	4.8191e-07	
70.000000	0.000784316	70.000000	0.000962423	70.000000	0.000961968	70.000000	0.000961464	70.000000	0.000961973	70.000000	4.50242e-07	
75.000000	0.000743736	75.000000	0.00091243	75.000000	0.000912007	75.000000	0.000911531	75.000000	0.000912007	75.000000	4.22619e-07	
80.000000	0.000707889	80.000000	0.000868332	80.000000	0.000867911	80.000000	0.000867463	80.000000	0.000867934	80.000000	3.98305e-07	
85.000000	0.000675975	85.000000	0.000829136	85.000000	0.000828696	85.000000	0.000828271	85.000000	0.000828759	85.000000	3.76731e-07	
90.000000	0.000647368	90.000000	0.000794057	90.000000	0.000793589	90.000000	0.000793181	90.000000	0.0007937 	90.000000	3.57454e-07	
95.000000	0.000621567	95.000000	0.000762475	95.000000	0.000762059	95.000000	0.000761575	95.000000	0.000762135	95.000000	3.40121e-07	
100.000000	0.00059817	100.000000	0.000733885	100.000000	0.000733417	100.000000	0.000732954	100.000000	0.00073356	100.000000	3.2445e-07	
105.000000	0.000576847	105.000000	0.000707878	105.000000	0.000707352	105.000000	0.00070691	105.000000	0.000707568	105.000000	3.10209e-07	
110.000000	0.00055733	110.000000	0.000684116	110.000000	0.000683534	110.000000	0.000683107	110.000000	0.000683819	110.000000	2.97209e-07	
115.000000	0.000539391	115.000000	0.000662317	115.000000	0.000661677	115.000000	0.000661267	115.000000	0.000662032	115.000000	2.85292e-07	
120.000000	0.000522843	120.000000	0.000642247	120.000000	0.00064155	120.000000	0.000641154	120.000000	0.000641973	120.000000	2.74328e-07	
125.000000	0.000507526	125.000000	0.000623705	125.000000	0.000622954	125.000000	0.00062257	125.000000	0.000623441	125.000000	2.64204e-07	
130.000000	0.000493304	130.000000	0.000606523	130.000000	0.000605718	130.000000	0.000605346	130.000000	0.000606268	130.000000	2.54828e-07	
135.000000	0.000480061	135.000000	0.000590554	135.000000	0.00058969	135.000000	0.000589338	135.000000	0.000590308	135.000000	2.46117e-07	
