Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
1460.000000	0.000166385	1460.000000	0.000209021	1460.000000	0.000210755	1460.000000	0.000210532	1460.000000	0.000208994	1460.000000	2.70004e-08	
1480.000000	0.000166211	1480.000000	0.000208783	1480.000000	0.000210477	1480.000000	0.000210255	1480.000000	0.000208756	1480.000000	2.66595e-08	
1500.000000	0.000166051	1500.000000	0.000208561	1500.000000	0.000210212	1500.000000	0.000209991	1500.000000	0.000208534	1500.000000	2.63273e-08	
1520.000000	0.000165906	1520.000000	0.000208354	1520.000000	0.000209961	1520.000000	0.00020974	1520.000000	0.000208328	1520.000000	2.60036e-08	
1540.000000	0.000165774	1540.000000	0.000208163	1540.000000	0.000209721	1540.000000	0.000209501	1540.000000	0.000208137	1540.000000	2.56879e-08	
1560.000000	0.000165656	1560.000000	0.000207986	1560.000000	0.000209493	1560.000000	0.000209274	1560.000000	0.00020796	1560.000000	2.53801e-08	
1580.000000	0.000165551	1580.000000	0.000207823	1580.000000	0.000209277	1580.000000	0.000209059	1580.000000	0.000207798	1580.000000	2.50798e-08	
1600.000000	0.000165458	1600.000000	0.000207673	1600.000000	0.000209072	1600.000000	0.000208855	1600.000000	0.000207648	1600.000000	2.47868e-08	
1620.000000	0.000165377	1620.000000	0.000207537	1620.000000	0.000208877	1620.000000	0.000208661	1620.000000	0.000207512	1620.000000	2.45007e-08	
1640.000000	0.000165308	1640.000000	0.000207412	1640.000000	0.000208693	1640.000000	0.000208478	1640.000000	0.000207388	1640.000000	2.42214e-08	
1660.000000	0.00016525	1660.000000	0.0002073 	1660.000000	0.000208518	1660.000000	0.000208304	1660.000000	0.000207276	1660.000000	2.39486e-08	
1680.000000	0.000165202	1680.000000	0.0002072 	1680.000000	0.000208353	1680.000000	0.000208139	1680.000000	0.000207176	1680.000000	2.3682e-08	
1700.000000	0.000165165	1700.000000	0.00020711	1700.000000	0.000208197	1700.000000	0.000207983	1700.000000	0.000207087	1700.000000	2.34215e-08	
1750.000000	0.000165117	1750.000000	0.000206934	1750.000000	0.000207843	1750.000000	0.00020763	1750.000000	0.000206911	1750.000000	2.27954e-08	
1800.000000	0.000165126	1800.000000	0.000206819	1800.000000	0.000207537	1800.000000	0.000207325	1800.000000	0.000206796	1800.000000	2.2203e-08	
1850.000000	0.000165191	1850.000000	0.000206761	1850.000000	0.000207275	1850.000000	0.000207064	1850.000000	0.000206739	1850.000000	2.16414e-08	
1900.000000	0.000165305	1900.000000	0.000206755	1900.000000	0.000207053	1900.000000	0.000206843	1900.000000	0.000206734	1900.000000	2.11084e-08	
1950.000000	0.000165467	1950.000000	0.000206799	1950.000000	0.000206866	1950.000000	0.000206657	1950.000000	0.000206778	1950.000000	2.06018e-08	
2000.000000	0.000165672	2000.000000	0.000206887	2000.000000	0.000206713	2000.000000	0.000206504	2000.000000	0.000206866	2000.000000	2.01197e-08	
2100.000000	0.000166202	2100.000000	0.000207184	2100.000000	0.000206493	2100.000000	0.000206286	2100.000000	0.000207165	2100.000000	1.92221e-08	
2200.000000	0.000166877	2200.000000	0.000207626	2200.000000	0.000206373	2200.000000	0.000206167	2200.000000	0.000207608	2200.000000	1.84034e-08	
2300.000000	0.000167679	2300.000000	0.000208194	2300.000000	0.000206337	2300.000000	0.000206133	2300.000000	0.000208176	2300.000000	1.76535e-08	
2400.000000	0.000168594	2400.000000	0.000208871	2400.000000	0.000206372	2400.000000	0.000206168	2400.000000	0.000208854	2400.000000	1.69641e-08	
2500.000000	0.00016961	2500.000000	0.000209644	2500.000000	0.000206466	2500.000000	0.000206264	2500.000000	0.000209628	2500.000000	1.6328e-08	
2600.000000	0.000170719	2600.000000	0.000210502	2600.000000	0.000206611	2600.000000	0.00020641	2600.000000	0.000210487	2600.000000	1.57393e-08	
2700.000000	0.00017191	2700.000000	0.000211436	2700.000000	0.000206799	2700.000000	0.000206598	2700.000000	0.000211421	2700.000000	1.51927e-08	
2800.000000	0.000173177	2800.000000	0.000212438	2800.000000	0.000207023	2800.000000	0.000206823	2800.000000	0.000212423	2800.000000	1.46839e-08	
2900.000000	0.000174513	2900.000000	0.000213499	2900.000000	0.000207278	2900.000000	0.000207079	2900.000000	0.000213485	2900.000000	1.4209e-08	
3000.000000	0.000175913	3000.000000	0.000214615	3000.000000	0.00020756	3000.000000	0.000207361	3000.000000	0.000214602	3000.000000	1.37648e-08	
3200.000000	0.000178884	3200.000000	0.000216989	3200.000000	0.000208187	3200.000000	0.00020799	3200.000000	0.000216976	3200.000000	1.2957e-08	
3400.000000	0.000182058	3400.000000	0.000219523	3400.000000	0.000208879	3400.000000	0.000208683	3400.000000	0.000219511	3400.000000	1.22412e-08	
3600.000000	0.000185409	3600.000000	0.00022219	3600.000000	0.000209618	3600.000000	0.000209422	3600.000000	0.000222178	3600.000000	1.16024e-08	
3800.000000	0.000188917	3800.000000	0.000224968	3800.000000	0.00021039	3800.000000	0.000210194	3800.000000	0.000224957	3800.000000	1.10288e-08	
4000.000000	0.000192565	4000.000000	0.000227839	4000.000000	0.000211183	4000.000000	0.000210988	4000.000000	0.000227829	4000.000000	1.05107e-08	
4200.000000	0.00019634	4200.000000	0.00023079	4200.000000	0.00021199	4200.000000	0.000211796	4200.000000	0.00023078	4200.000000	1.00404e-08	
4400.000000	0.000200231	4400.000000	0.000233809	4400.000000	0.000212805	4400.000000	0.000212612	4400.000000	0.0002338 	4400.000000	9.61157e-09	
4600.000000	0.000204228	4600.000000	0.000236887	4600.000000	0.000213623	4600.000000	0.00021343	4600.000000	0.000236878	4600.000000	9.21882e-09	
4800.000000	0.000208325	4800.000000	0.000240015	4800.000000	0.000214441	4800.000000	0.000214248	4800.000000	0.000240006	4800.000000	8.85777e-09	
5000.000000	0.000212513	5000.000000	0.000243187	5000.000000	0.000215255	5000.000000	0.000215063	5000.000000	0.000243178	5000.000000	8.5247e-09	
5250.000000	0.000217871	5250.000000	0.000247205	5250.000000	0.000216265	5250.000000	0.000216074	5250.000000	0.000247197	5250.000000	8.14294e-09	
5500.000000	0.000223354	5500.000000	0.000251274	5500.000000	0.000217264	5500.000000	0.000217073	5500.000000	0.000251266	5500.000000	7.79482e-09	
6000.000000	0.000234673	6000.000000	0.000259535	6000.000000	0.000219218	6000.000000	0.000219027	6000.000000	0.000259528	6000.000000	7.18298e-09	
6500.000000	0.000246421	6500.000000	0.000267925	6500.000000	0.000221108	6500.000000	0.000220917	6500.000000	0.000267918	6500.000000	6.66248e-09	
7000.000000	0.000258565	7000.000000	0.00027641	7000.000000	0.000222929	7000.000000	0.000222739	7000.000000	0.000276403	7000.000000	6.21414e-09	
7500.000000	0.00027108	7500.000000	0.000284966	7500.000000	0.00022468	7500.000000	0.000224491	7500.000000	0.00028496	7500.000000	5.8238e-09	
8000.000000	0.000283946	8000.000000	0.000293577	8000.000000	0.000226364	8000.000000	0.000226175	8000.000000	0.000293571	8000.000000	5.4808e-09	
8500.000000	0.00029715	8500.000000	0.000302229	8500.000000	0.000227983	8500.000000	0.000227793	8500.000000	0.000302224	8500.000000	5.17696e-09	
9000.000000	0.000310679	9000.000000	0.000310912	9000.000000	0.000229538	9000.000000	0.00022935	9000.000000	0.000310907	9000.000000	4.90587e-09	
9500.000000	0.000324525	9500.000000	0.000319618	9500.000000	0.000231036	9500.000000	0.000230847	9500.000000	0.000319613	9500.000000	4.66248e-09	
10000.000000	0.00033868	10000.000000	0.000328342	10000.000000	0.00023248	10000.000000	0.000232289	10000.000000	0.000328337	10000.000000	4.4427e-09	
11000.000000	0.000367897	11000.000000	0.000345823	11000.000000	0.000235208	11000.000000	0.000235019	11000.000000	0.000345819	11000.000000	4.06136e-09	
12000.000000	0.000398296	12000.000000	0.000363327	12000.000000	0.000237744	12000.000000	0.000237563	12000.000000	0.000363323	12000.000000	3.74178e-09	
13000.000000	0.000429854	13000.000000	0.000380837	13000.000000	0.000240122	13000.000000	0.000239942	13000.000000	0.000380833	13000.000000	3.46997e-09	
14000.000000	0.000462557	14000.000000	0.00039834	14000.000000	0.000242366	14000.000000	0.000242175	14000.000000	0.000398337	14000.000000	3.23589e-09	
15000.000000	0.000496393	15000.000000	0.000415828	15000.000000	0.000244485	15000.000000	0.000244277	15000.000000	0.000415825	15000.000000	3.03213e-09	
16000.000000	0.000531356	16000.000000	0.000433297	16000.000000	0.000246481	16000.000000	0.000246263	16000.000000	0.000433294	16000.000000	2.85312e-09	
17000.000000	0.000567442	17000.000000	0.000450742	17000.000000	0.000248364	17000.000000	0.000248143	17000.000000	0.00045074	17000.000000	2.69457e-09	
18000.000000	0.000604651	18000.000000	0.000468162	18000.000000	0.000250144	18000.000000	0.000249928	18000.000000	0.000468159	18000.000000	2.55313e-09	
19000.000000	0.00064298	19000.000000	0.000485554	19000.000000	0.000251831	19000.000000	0.000251628	19000.000000	0.000485552	19000.000000	2.42616e-09	
20000.000000	0.00068243	20000.000000	0.000502919	20000.000000	0.000253434	20000.000000	0.000253248	20000.000000	0.000502916	20000.000000	2.31152e-09	
21000.000000	0.000723004	21000.000000	0.000520255	21000.000000	0.000254968	21000.000000	0.000254797	21000.000000	0.000520252	21000.000000	2.2075e-09	
22000.000000	0.000764704	22000.000000	0.000537562	22000.000000	0.00025645	22000.000000	0.00025628	22000.000000	0.00053756	22000.000000	2.11266e-09	
23000.000000	0.000807532	23000.000000	0.00055484	23000.000000	0.000257874	23000.000000	0.000257703	23000.000000	0.000554838	23000.000000	2.02583e-09	
24000.000000	0.000851492	24000.000000	0.000572091	24000.000000	0.00025924	24000.000000	0.00025907	24000.000000	0.000572089	24000.000000	1.94603e-09	
25000.000000	0.000896588	25000.000000	0.000589313	25000.000000	0.000260555	25000.000000	0.000260385	25000.000000	0.000589311	25000.000000	1.87244e-09	
26000.000000	0.000942823	26000.000000	0.000606507	26000.000000	0.000261822	26000.000000	0.000261652	26000.000000	0.000606505	26000.000000	1.80435e-09	
27000.000000	0.000990203	27000.000000	0.000623675	27000.000000	0.000263046	27000.000000	0.000262874	27000.000000	0.000623673	27000.000000	1.74116e-09	
28000.000000	0.00103873	28000.000000	0.000640816	28000.000000	0.000264226	28000.000000	0.000264054	28000.000000	0.000640814	28000.000000	1.68235e-09	
29000.000000	0.00108842	29000.000000	0.00065793	29000.000000	0.000265365	29000.000000	0.000265196	29000.000000	0.000657929	29000.000000	1.62749e-09	
30000.000000	0.00113926	30000.000000	0.00067502	30000.000000	0.000266465	30000.000000	0.000266301	30000.000000	0.000675018	30000.000000	1.57618e-09	
32000.000000	0.00124444	32000.000000	0.000709123	32000.000000	0.000268563	32000.000000	0.00026841	32000.000000	0.000709122	32000.000000	1.48292e-09	
34000.000000	0.00135433	34000.000000	0.000743132	34000.000000	0.000270542	34000.000000	0.000270397	34000.000000	0.00074313	34000.000000	1.40033e-09	
36000.000000	0.00146896	36000.000000	0.000777049	36000.000000	0.000272415	36000.000000	0.000272276	36000.000000	0.000777047	36000.000000	1.32666e-09	
38000.000000	0.00158839	38000.000000	0.000810878	38000.000000	0.000274192	38000.000000	0.000274058	38000.000000	0.000810877	38000.000000	1.26054e-09	
40000.000000	0.00171266	40000.000000	0.000844624	40000.000000	0.000275882	40000.000000	0.000275751	40000.000000	0.000844622	40000.000000	1.20085e-09	
42000.000000	0.00184183	42000.000000	0.000878289	42000.000000	0.000277493	42000.000000	0.000277366	42000.000000	0.000878288	42000.000000	1.14669e-09	
44000.000000	0.00197595	44000.000000	0.000911878	44000.000000	0.00027903	44000.000000	0.000278907	44000.000000	0.000911877	44000.000000	1.09732e-09	
46000.000000	0.00211505	46000.000000	0.000945393	46000.000000	0.0002805 	46000.000000	0.000280382	46000.000000	0.000945392	46000.000000	1.05212e-09	
48000.000000	0.00225921	48000.000000	0.000978838	48000.000000	0.000281909	48000.000000	0.000281797	48000.000000	0.000978836	48000.000000	1.01059e-09	
50000.000000	0.00240847	50000.000000	0.00101221	50000.000000	0.000283261	50000.000000	0.000283155	50000.000000	0.00101221	50000.000000	9.72291e-10	
